,Date,PV Quantity,PV Output kW,PV Quantity Cumsum,PV Output kW Cumsum
43,1-Jul-2011,22220,54105.00900000005,547710,1122735.2320000003
44,1-Aug-2011,22127,56595.90800000004,569837,1179331.1400000004
45,1-Sep-2011,24875,67331.387,594712,1246662.5270000005
46,1-Oct-2011,16669,43924.0919999999,611381,1290586.6190000004
47,1-Nov-2011,18079,48398.54799999998,629460,1338985.1670000004
48,1-Dec-2011,14596,39783.54299999987,644056,1378768.7100000002
49,1-Jan-2012,13017,34517.185000000034,657073,1413285.8950000003
50,1-Feb-2012,19561,50938.56100000002,676634,1464224.4560000002
51,1-Mar-2012,23632,62314.42199999999,700266,1526538.8780000003
52,1-Apr-2012,26554,71373.00700000001,726820,1597911.8850000002
53,1-May-2012,43477,122038.50299999995,770297,1719950.3880000003
54,1-Jun-2012,59213,178926.36000000022,829510,1898876.7480000006
55,1-Jul-2012,25777,78790.926,855287,1977667.6740000006
56,1-Aug-2012,27990,88236.50000000012,883277,2065904.1740000006
57,1-Sep-2012,28421,95703.08599999988,911698,2161607.2600000002
58,1-Oct-2012,22608,73013.75300000004,934306,2234621.0130000003
59,1-Nov-2012,22504,73718.70499999993,956810,2308339.7180000003
60,1-Dec-2012,30566,106179.27900000007,987376,2414518.9970000004
61,1-Jan-2013,15004,51535.394000000015,1002380,2466054.3910000003
62,1-Feb-2013,15491,55894.35399999992,1017871,2521948.745
63,1-Mar-2013,16143,60414.133000000016,1034014,2582362.878
64,1-Apr-2013,16742,63013.591999999815,1050756,2645376.4699999997
65,1-May-2013,20145,79181.87799999998,1070901,2724558.3479999998
66,1-Jun-2013,22208,91280.33500000021,1093109,2815838.683
67,1-Jul-2013,16754,64219.175000000025,1109863,2880057.858
68,1-Aug-2013,14945,59171.60099999991,1124808,2939229.459
69,1-Sep-2013,14889,62099.619999999995,1139697,3001329.079
70,1-Oct-2013,17332,72657.23699999985,1157029,3073986.3159999996
71,1-Nov-2013,16984,71143.83499999986,1174013,3145130.1509999996
72,1-Dec-2013,13770,61577.829999999994,1187783,3206707.9809999997
73,1-Jan-2014,13782,60872.94699999996,1201565,3267580.928
74,1-Feb-2014,14118,57915.39299999993,1215683,3325496.321
75,1-Mar-2014,14265,62159.57199999993,1229948,3387655.893
76,1-Apr-2014,13500,57123.17499999994,1243448,3444779.068
77,1-May-2014,16187,72104.13299999993,1259635,3516883.201
78,1-Jun-2014,14429,64418.8629999999,1274064,3581302.064
79,1-Jul-2014,16276,72197.12400000004,1290340,3653499.1879999996
80,1-Aug-2014,14813,66814.92099999993,1305153,3720314.1089999997
81,1-Sep-2014,16678,72736.21900000004,1321831,3793050.3279999997
82,1-Oct-2014,17322,77493.17799999994,1339153,3870543.5059999996
83,1-Nov-2014,15238,70994.05699999994,1354391,3941537.5629999996
84,1-Dec-2014,13531,65431.71899999992,1367922,4006969.2819999997
85,1-Jan-2015,11463,53080.80999999997,1379385,4060050.0919999997
86,1-Feb-2015,12876,61378.747000000076,1392261,4121428.8389999997
87,1-Mar-2015,13165,62570.92699999994,1405426,4183999.766
88,1-Apr-2015,11071,51858.85700000004,1416497,4235858.623
89,1-May-2015,11626,57109.85900000008,1428123,4292968.482
90,1-Jun-2015,11785,60097.41900000003,1439908,4353065.901
91,1-Jul-2015,13102,65592.53099999994,1453010,4418658.431999999
92,1-Aug-2015,11619,59278.74900000008,1464629,4477937.180999999
93,1-Sep-2015,11777,59977.39400000008,1476406,4537914.574999999
94,1-Oct-2015,11477,60195.00900000011,1487883,4598109.584
95,1-Nov-2015,11235,58274.217000000026,1499118,4656383.801
96,1-Dec-2015,10294,56510.075999999965,1509412,4712893.877
97,1-Jan-2016,8206,41832.53800000005,1517618,4754726.415
98,1-Feb-2016,10957,57070.60599999995,1528575,4811797.021
99,1-Mar-2016,10640,55532.998000000014,1539215,4867330.018999999
100,1-Apr-2016,10288,55587.33700000003,1549503,4922917.356
101,1-May-2016,10690,58626.13000000005,1560193,4981543.486
102,1-Jun-2016,10064,56617.34099999993,1570257,5038160.827
103,1-Jul-2016,10132,56991.814999999944,1580389,5095152.641999999
104,1-Aug-2016,11461,63310.755,1591850,5158463.396999999
105,1-Sep-2016,11310,65704.18000000001,1603160,5224167.576999999
106,1-Oct-2016,11059,64319.653000000006,1614219,5288487.229999999
107,1-Nov-2016,13435,75319.19899999992,1627654,5363806.428999999
108,1-Dec-2016,14435,96906.3,1642089,5460712.728999998
109,1-Jan-2017,10129,53902.89300000008,1652218,5514615.621999999
110,1-Feb-2017,12990,71016.06500000005,1665208,5585631.686999999
111,1-Mar-2017,14240,82317.67700000017,1679448,5667949.363999999
112,1-Apr-2017,11656,69076.73800000003,1691104,5737026.101999999
113,1-May-2017,14682,91565.19200000011,1705786,5828591.293999999
114,1-Jun-2017,14061,91570.04500000009,1719847,5920161.338999999
115,1-Jul-2017,14614,92830.12899999997,1734461,6012991.4679999985
116,1-Aug-2017,15851,99052.88000000028,1750312,6112044.347999998
117,1-Sep-2017,14680,95201.42699999997,1764992,6207245.7749999985
118,1-Oct-2017,15876,105503.26699999992,1780868,6312749.0419999985
119,1-Nov-2017,18357,125502.25,1799225,6438251.2919999985
120,1-Dec-2017,17805,141503.2860000001,1817030,6579754.577999999
121,1-Jan-2018,14320,89748.21199999982,1831350,6669502.789999999
122,1-Feb-2018,16628,109491.14299999998,1847978,6778993.932999999
123,1-Mar-2018,17716,120178.05099999993,1865694,6899171.983999999
124,1-Apr-2018,15879,109826.36600000039,1881573,7008998.35
125,1-May-2018,18221,131304.38599999988,1899794,7140302.736
126,1-Jun-2018,16424,124222.65100000023,1916218,7264525.387
127,1-Jul-2018,17929,127961.53299999991,1934147,7392486.92
128,1-Aug-2018,19377,140169.2110000004,1953524,7532656.131
129,1-Sep-2018,19047,134957.003,1972571,7667613.134
130,1-Oct-2018,22115,158455.3900000002,1994686,7826068.524
131,1-Nov-2018,24895,182967.8669999999,2019581,8009036.391
132,1-Dec-2018,22299,188192.85500000016,2041880,8197229.246
133,1-Jan-2019,18576,125182.79400000015,2060456,8322412.04
134,1-Feb-2019,22916,162528.12900000013,2083372,8484940.169
135,1-Mar-2019,23347,167897.767,2106719,8652837.936
136,1-Apr-2019,20802,150052.84700000065,2127521,8802890.783000002
137,1-May-2019,23000,175849.4459999995,2150521,8978740.229
138,1-Jun-2019,19093,153290.84000000032,2169614,9132031.069
139,1-Jul-2019,22604,174942.8739999999,2192218,9306973.943
140,1-Aug-2019,23008,175028.95700000058,2215226,9482002.9
141,1-Sep-2019,23423,178626.94600000032,2238649,9660629.846
142,1-Oct-2019,27760,212688.50900000034,2266409,9873318.355
143,1-Nov-2019,30056,232945.66600000017,2296465,10106264.021
144,1-Dec-2019,29406,255784.3170000007,2325871,10362048.338
145,1-Jan-2020,23495,169059.60800000012,2349366,10531107.946
146,1-Feb-2020,28195,210576.82800000024,2377561,10741684.774
147,1-Mar-2020,31328,239371.7670000006,2408889,10981056.541000001
148,1-Apr-2020,26584,207170.41800000053,2435473,11188226.959000003
149,1-May-2020,27952,220231.53000000073,2463425,11408458.489000004
150,1-Jun-2020,30207,250163.5250000006,2493632,11658622.014000004
151,1-Jul-2020,33761,266760.2230000001,2527393,11925382.237000003
152,1-Aug-2020,28471,226396.89000000054,2555864,12151779.127000004
153,1-Sep-2020,31443,255233.46100000074,2587307,12407012.588000005
154,1-Oct-2020,33022,266863.66099999985,2620329,12673876.249000005
155,1-Nov-2020,38768,318265.7270000001,2659097,12992141.976000005
156,1-Dec-2020,37076,334461.1349999996,2696173,13326603.111000005
