Postcode,Month,Capacity (kW)
23XX,2016-01,1106
23XX,2016-02,1205
23XX,2016-03,1223
23XX,2016-04,1294
23XX,2016-05,1438
23XX,2016-06,1479
23XX,2016-07,1333
23XX,2016-08,1434
23XX,2016-09,1308
23XX,2016-10,1511
23XX,2016-11,1935
23XX,2016-12,2408
23XX,2017-01,1374
23XX,2017-02,2210
23XX,2017-03,2324
23XX,2017-04,1959
23XX,2017-05,2179
23XX,2017-06,2574
23XX,2017-07,2984
23XX,2017-08,2964
23XX,2017-09,2855
23XX,2017-10,3427
23XX,2017-11,3845
23XX,2017-12,3518
23XX,2018-01,2352
23XX,2018-02,2990
23XX,2018-03,3365
23XX,2018-04,3202
23XX,2018-05,4164
23XX,2018-06,4249
23XX,2018-07,4314
23XX,2018-08,4171
23XX,2018-09,3565
23XX,2018-10,4571
23XX,2018-11,4353
23XX,2018-12,4931
23XX,2019-01,2945
23XX,2019-02,4650
23XX,2019-03,4111
23XX,2019-04,3484
23XX,2019-05,4981
23XX,2019-06,4058
23XX,2019-07,5209
23XX,2019-08,4601
23XX,2019-09,5362
23XX,2019-10,5166
23XX,2019-11,5872
23XX,2019-12,6202
23XX,2020-01,4121
23XX,2020-02,5611
23XX,2020-03,6587
23XX,2020-04,5763
23XX,2020-05,7150
23XX,2020-06,7420
23XX,2020-07,6824
23XX,2020-08,7072
23XX,2020-09,6868
23XX,2020-10,6705
23XX,2020-11,8394
23XX,2020-12,8907
23XX,2021-01,5277
23XX,2021-02,7788
23XX,2021-03,7686
23XX,2021-04,7356
23XX,2021-05,6151
23XX,2021-06,6524
23XX,2021-07,5672
23XX,2021-08,5220
23XX,2021-09,5974
23XX,2021-10,5384
23XX,2021-11,6152
23XX,2021-12,7734
23XX,2022-01,3455
23XX,2022-02,5195
23XX,2022-03,6042
23XX,2022-04,4815
23XX,2022-05,6048
23XX,2022-06,5657
23XX,2022-07,5647
23XX,2022-08,7878
23XX,2022-09,6080
23XX,2022-10,6252
23XX,2022-11,6726
23XX,2022-12,4613
22XX,2007-01,1
22XX,2007-02,0
22XX,2007-03,0
22XX,2007-04,2
22XX,2007-05,1
22XX,2007-06,7
22XX,2007-07,8
22XX,2007-08,15
22XX,2007-09,17
22XX,2007-10,1
22XX,2007-11,10
22XX,2007-12,19
22XX,2008-01,10
22XX,2008-02,22
22XX,2008-03,17
22XX,2008-04,21
22XX,2008-05,21
22XX,2008-06,28
22XX,2008-07,43
22XX,2008-08,24
22XX,2008-09,71
22XX,2008-10,56
22XX,2008-11,54
22XX,2008-12,63
22XX,2009-01,61
22XX,2009-02,121
22XX,2009-03,135
22XX,2009-04,178
22XX,2009-05,165
22XX,2009-06,181
22XX,2009-07,232
22XX,2009-08,345
22XX,2009-09,423
22XX,2009-10,364
22XX,2009-11,451
22XX,2009-12,427
22XX,2010-01,541
22XX,2010-02,854
22XX,2010-03,1001
22XX,2010-04,1014
22XX,2010-05,1417
22XX,2010-06,1886
22XX,2010-07,2474
22XX,2010-08,2495
22XX,2010-09,2787
22XX,2010-10,3413
22XX,2010-11,3862
22XX,2010-12,2527
22XX,2011-01,4116
22XX,2011-02,3451
22XX,2011-03,3986
22XX,2011-04,2993
22XX,2011-05,3638
22XX,2011-06,3785
22XX,2011-07,608
22XX,2011-08,516
22XX,2011-09,430
22XX,2011-10,516
22XX,2011-11,543
22XX,2011-12,557
22XX,2012-01,477
22XX,2012-02,631
22XX,2012-03,921
22XX,2012-04,1060
22XX,2012-05,2387
22XX,2012-06,3764
22XX,2012-07,1218
22XX,2012-08,1026
22XX,2012-09,961
22XX,2012-10,1237
22XX,2012-11,1454
22XX,2012-12,2613
22XX,2013-01,1056
22XX,2013-02,1056
22XX,2013-03,882
22XX,2013-04,920
22XX,2013-05,940
22XX,2013-06,747
22XX,2013-07,934
22XX,2013-08,942
22XX,2013-09,916
22XX,2013-10,1219
22XX,2013-11,1082
22XX,2013-12,1047
22XX,2014-01,949
22XX,2014-02,1092
22XX,2014-03,1114
22XX,2014-04,1218
22XX,2014-05,1620
22XX,2014-06,1235
22XX,2014-07,1761
22XX,2014-08,1462
22XX,2014-09,2234
22XX,2014-10,2633
22XX,2014-11,2219
22XX,2014-12,2435
22XX,2015-01,1681
22XX,2015-02,2475
22XX,2015-03,2275
22XX,2015-04,1841
22XX,2015-05,1702
22XX,2015-06,1805
22XX,2015-07,1592
22XX,2015-08,1773
22XX,2015-09,1761
22XX,2015-10,1654
22XX,2015-11,1421
22XX,2015-12,1684
22XX,2016-01,1148
22XX,2016-02,1693
22XX,2016-03,1746
22XX,2016-04,1759
22XX,2016-05,1669
22XX,2016-06,1415
22XX,2016-07,1623
22XX,2016-08,1791
22XX,2016-09,1570
22XX,2016-10,1895
22XX,2016-11,2390
22XX,2016-12,2504
22XX,2017-01,1985
22XX,2017-02,2320
22XX,2017-03,2440
22XX,2017-04,1817
22XX,2017-05,2684
22XX,2017-06,2916
22XX,2017-07,3996
22XX,2017-08,3168
22XX,2017-09,3053
22XX,2017-10,3216
22XX,2017-11,3492
22XX,2017-12,4100
22XX,2018-01,2610
22XX,2018-02,4326
22XX,2018-03,4805
22XX,2018-04,4395
22XX,2018-05,4956
22XX,2018-06,3688
22XX,2018-07,4436
22XX,2018-08,5123
22XX,2018-09,4592
22XX,2018-10,5127
22XX,2018-11,5534
22XX,2018-12,6663
22XX,2019-01,4559
22XX,2019-02,5418
22XX,2019-03,5499
22XX,2019-04,5703
22XX,2019-05,6522
22XX,2019-06,5416
22XX,2019-07,6437
22XX,2019-08,6349
22XX,2019-09,6477
22XX,2019-10,7817
22XX,2019-11,7930
22XX,2019-12,9251
22XX,2020-01,6558
22XX,2020-02,8587
22XX,2020-03,9047
22XX,2020-04,8148
22XX,2020-05,8855
22XX,2020-06,10786
22XX,2020-07,10966
22XX,2020-08,10109
22XX,2020-09,11776
22XX,2020-10,11176
22XX,2020-11,14042
22XX,2020-12,13306
22XX,2021-01,9092
22XX,2021-02,12840
22XX,2021-03,13532
22XX,2021-04,13048
22XX,2021-05,11300
22XX,2021-06,10403
22XX,2021-07,8110
22XX,2021-08,9103
22XX,2021-09,10604
22XX,2021-10,10801
22XX,2021-11,11004
22XX,2021-12,13392
22XX,2022-01,6139
22XX,2022-02,7758
22XX,2022-03,7451
22XX,2022-04,7582
22XX,2022-05,9010
22XX,2022-06,10336
22XX,2022-07,8392
22XX,2022-08,12568
22XX,2022-09,10796
22XX,2022-10,9552
22XX,2022-11,13738
22XX,2022-12,9494
24XX,2007-01,4
24XX,2007-02,9
24XX,2007-03,6
24XX,2007-04,10
24XX,2007-05,14
24XX,2007-06,8
24XX,2007-07,37
24XX,2007-08,33
24XX,2007-09,31
24XX,2007-10,33
24XX,2007-11,28
24XX,2007-12,27
24XX,2008-01,30
24XX,2008-02,49
24XX,2008-03,67
24XX,2008-04,55
24XX,2008-05,65
24XX,2008-06,63
24XX,2008-07,82
24XX,2008-08,81
24XX,2008-09,77
24XX,2008-10,97
24XX,2008-11,108
24XX,2008-12,228
24XX,2009-01,169
24XX,2009-02,243
24XX,2009-03,220
24XX,2009-04,197
24XX,2009-05,266
24XX,2009-06,337
24XX,2009-07,321
24XX,2009-08,334
24XX,2009-09,424
24XX,2009-10,415
24XX,2009-11,501
24XX,2009-12,655
24XX,2010-01,498
24XX,2010-02,707
24XX,2010-03,1141
24XX,2010-04,1502
24XX,2010-05,1909
24XX,2010-06,2634
24XX,2010-07,3019
24XX,2010-08,3417
24XX,2010-09,3259
24XX,2010-10,3571
24XX,2010-11,4369
24XX,2010-12,2931
24XX,2011-01,4644
24XX,2011-02,5120
24XX,2011-03,5349
24XX,2011-04,3655
24XX,2011-05,4714
24XX,2011-06,5927
24XX,2011-07,843
24XX,2011-08,761
24XX,2011-09,646
24XX,2011-10,503
24XX,2011-11,785
24XX,2011-12,728
24XX,2012-01,525
24XX,2012-02,823
24XX,2012-03,1103
24XX,2012-04,1160
24XX,2012-05,2307
24XX,2012-06,4995
24XX,2012-07,1581
24XX,2012-08,1514
24XX,2012-09,1783
24XX,2012-10,1822
24XX,2012-11,2429
24XX,2012-12,3373
24XX,2013-01,1568
24XX,2013-02,1909
24XX,2013-03,1797
